ds,y,sma_50,sma_200,spx_close,hr_hash_rate_ma30,m2_ma30,fg_fng_value_ma30,gt_bitcoin_ma30,fg_fng_value,macd_signal_9
2024-01-11,46368.5859375,42285.019765625,32849.9837890625,4780.240234375,514182871.826814,20867.13,70.56666666666666,16.895933333333335,76.0,905.0249966688216
2024-01-12,42853.16796875,42396.290703125,32912.893974609375,4783.830078125,517941999.5634991,20870.726666666666,70.76666666666667,17.2711,71.0,899.0722564679709
2024-01-13,42842.3828125,42498.732734375,32973.665068359376,4783.830078125,521701127.30018425,20874.323333333337,70.5,17.415399999999998,64.0,852.0452427387005
2024-01-14,41796.26953125,42578.722265625,33032.21518554688,4783.830078125,519047318.6294402,20877.983333333337,70.16666666666667,17.48753333333333,60.0,763.1067939871367
2024-01-15,42511.96875,42679.37921875,33092.548271484375,4783.830078125,516393509.95869607,20881.643333333333,69.66666666666667,17.631833333333336,52.0,662.2406584604581
2024-01-16,43154.9453125,42797.394765625,33155.93673828125,4765.97998046875,514825678.27925223,20885.303333333333,69.36666666666666,17.7617,64.0,567.9349845474458
2024-01-17,42742.65234375,42895.62609375,33216.699609375,4739.2099609375,513257846.5998084,20888.96333333333,69.2,17.80496666666667,60.0,474.8126079061371
2024-01-18,41262.05859375,42963.697421875,33269.9060546875,4780.93994140625,512413612.3502949,20892.623333333337,68.86666666666666,17.862666666666666,63.0,362.6093254062816
2024-01-19,41618.40625,43041.810625,33322.215888671875,4839.81005859375,511569378.1007814,20895.783333333333,68.1,17.8771,51.0,249.1872409799078
2024-01-20,41665.5859375,43101.34734375,33376.65590820312,4839.81005859375,512399121.5121391,20898.943333333336,67.5,17.804966666666665,52.0,141.1317844362339
2024-01-21,41545.78515625,43142.73640625,33431.81400390625,4839.81005859375,513228864.9234968,20899.673333333332,66.9,17.7184,56.0,39.87145248528909
2024-01-22,39507.3671875,43133.3159375,33479.80415039063,4850.43017578125,513200848.9541692,20900.403333333332,66.4,17.761666666666667,55.0,-84.43423635651006
2024-01-23,39845.55078125,43090.625,33527.32057617188,4864.60009765625,513172832.9848415,20901.133333333335,65.7,17.877100000000002,50.0,-211.0800343926515
2024-01-24,40077.07421875,43010.553515625,33576.2432421875,4868.5498046875,514072048.05917627,20901.863333333335,64.86666666666666,17.92036666666667,48.0,-328.378670210492
2024-01-25,39933.80859375,42934.30078125,33625.05611328125,4894.16015625,514971263.1335108,20902.593333333338,64.23333333333333,17.891533333333335,52.0,-435.2069754777813
