ds,y,spx_close,fg_fng_value,btc_eth_ratio,fg_fng_value_ma30,gt_bitcoin_ma30,hr_hash_rate_ma30,fg_fng_value_z91d,m2_ma30,m2_lag30,rsi_14,sma_50,sma_200,macd_12_26,macd_signal_9,sma_ratio_50_200
2019-08-06,11478.1689453125,2881.77001953125,66.0,50.783719063015,45.43333333333333,10.9592,67035488.21544131,0.2417685268936844,14822.813333333334,14795.4,60.22971689329268,10770.23955078125,8598.816735944178,161.05289709224962,-48.282091988020504,1.2525257697097136
2019-08-07,11941.96875,2883.97998046875,45.0,52.74930721065063,44.46666666666667,10.939633333333337,67687736.50864299,-0.8369466491820146,14823.223333333332,14795.4,63.83794662780454,10827.443671875,8627.148532673464,248.6133076147053,11.096987932524648,1.2550431502214656
2019-08-08,11966.4072265625,2938.090087890625,61.0,54.16088652996075,43.7,10.8515,67845902.71133606,-0.0034192491677927,14823.633333333331,14795.4,64.02316612072106,10881.30138671875,8655.209530101103,316.33107686532276,72.14380571908427,1.2571967609652588
2019-08-09,11862.9365234375,2918.64990234375,60.0,56.35896304648463,42.93333333333333,10.7144,68004068.91402914,-0.0490810019714298,14828.513333333332,14795.4,62.56209010510037,10928.0169140625,8681.940588378906,357.5273234435517,129.22050926397776,1.2587067145667925
2019-08-10,11354.0244140625,2918.64990234375,59.0,54.92105754376004,42.833333333333336,10.567466666666666,68564984.57010911,-0.0916209304969497,14833.393333333335,14795.4,55.81527510483761,10952.20626953125,8704.02392578125,345.13222216930444,172.4028518450431,1.258292298242759
2019-08-11,11523.5791015625,2918.64990234375,45.0,53.32697635381562,43.233333333333334,10.449966666666665,69125900.22618909,-0.8035469280257651,14835.733333333334,14871.6,57.461252804999575,10968.6440234375,8727.135033779457,345.01355980720837,206.92499343747616,1.256843624050963
2019-08-12,11382.6162109375,2882.699951171875,48.0,53.87249821711961,42.666666666666664,10.420600000000002,69208758.54559688,-0.6316794116904024,14838.073333333334,14871.6,55.60661986953166,10979.18892578125,8748.72431164253,329.7439093049161,231.48877661096415,1.2549474111523304
2019-08-13,10895.830078125,2926.320068359375,45.0,52.20583543330597,42.13333333333333,10.381433333333332,69291616.86500467,-0.7705814922211693,14840.413333333332,14871.6,49.64730122892925,10976.8834765625,8766.039680727066,275.19080034736544,240.22918135824443,1.252205542794447
2019-08-14,10051.7041015625,2840.60009765625,11.0,53.86541832164373,41.96666666666667,10.2933,69613748.62941234,-2.437354542747276,14842.753333333332,14871.6,41.36808415271877,10942.09921875,8776.32499609375,161.97599832894412,224.57854475238435,1.2467746150718222
2019-08-15,10311.5458984375,2847.60009765625,13.0,54.7025634728333,41.266666666666666,10.2443,69935880.39382,-2.244149763969135,14845.093333333332,14871.6,44.43955078386667,10888.0055078125,8788.509288969493,92.15718284210016,198.09427237032753,1.238891050781285
